UserId,OnMailingList,GivenName,Surname,StreetAddress,City,State,ZipCode,EmailAddress,Password,TelephoneNumber
1,yes,Bobby,Dickerson,4458 Jett Lane,Pomona,CA,91766,BobbyDDickerson@armyspy.com,oom1duH0quei,310-706-5713
2,no,John,Horan,814 Marion Street,Brattleboro,VT,5301,JohnMHoran@cuvox.de,uM0zohG5,802-906-9635
3,yes,Lula,Benjamin,826 Park Boulevard,Casey,IA,50048,LulaTBenjamin@einrot.com,ohF0zooquu1,641-740-3120
4,no,Franklin,Hills,1741 Snowbird Lane,Colon,NE,68018,FranklinIHills@rhyta.com,eeWahXo5ee,402-647-8591
5,yes,Samuel,Blevins,2063 Memory Lane,Sterling,IL,61081,SamuelCBlevins@cuvox.de,TaeXo2OoV8u,815-982-3812
6,no,William,Raymond,889 Finwood Road,South River,NJ,8882,WilliamRRaymond@cuvox.de,Jiech8aiCh,732-432-0200
7,no,Janice,Robertson,1694 Green Hill Road,Clarksville,AR,72830,JaniceRRobertson@superrito.com,kohgae4OeGh,479-214-4112
8,no,Lashawn,Lambert,4867 Counts Lane,Cincinnati,KY,45203,LashawnTLambert@einrot.com,Lu0icho2yee,859-955-0616
9,yes,Vanessa,Seals,2940 Chandler Drive,Joplin,MO,64801,VanessaGSeals@dayrep.com,tooWee3Mo6ae,417-629-4257
10,yes,Bethany,Tong,2197 Pursglove Court,Harrison (Twp) Montgomery,OH,45406,BethanyETong@dayrep.com,ahC7Veigha,937-260-7087
